Date,NewCasesHUC,DeathsHUC,Recovered (HUC),Suspects,Cases,Deaths,New cases (datahub),Recovered (datahub),Deaths (datahub),New cases (OWD),Recovered (OWD),Deaths (OWD),New cases (DGE),NC,Recovered (DGE),Deaths (DGE),AcumulatedRecovered,Cases,Deaths,,,,,,,,Tested people
2020+AC0-02+AC0-28,4,0,0,0,1,0,0,0,0,1,0,0,4,4,0,0,0,4,0,,,,,,,,
2020+AC0-02+AC0-29,2,0,0,0,3,0,3,0,0,3,0,0,2,2,0,0,0,2,0,,,,,,,,
2020+AC0-03+AC0-01,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,,,,,,,,
2020+AC0-03+AC0-02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020+AC0-03+AC0-03,1,0,1,0,0,0,0,1,0,0,1,0,2,2,1,0,1,2,0,,,,,,,,
2020+AC0-03+AC0-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
2020+AC0-03+AC0-05,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,,,,,,,,
2020+AC0-03+AC0-06,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,,,,,,,,
2020+AC0-03+AC0-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
2020+AC0-03+AC0-08,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,,,,,,,,
2020+AC0-03+AC0-09,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,4,0,,,,,,,,
2020+AC0-03+AC0-10,2,0,3,1,0,0,0,3,0,0,3,0,2,1,3,0,4,2,0,,,,,,,,
2020+AC0-03+AC0-11,9,0,0,0,1,0,1,0,0,1,0,0,9,9,0,0,4,9,0,,,,,,,,
2020+AC0-03+AC0-12,27,0,0,0,4,0,4,0,0,4,0,0,27,27,0,0,4,27,0,,,,,,,,
2020+AC0-03+AC0-13,28,0,0,0,14,0,14,0,0,14,0,0,27,28,0,0,4,28,0,,,,,,,,
2020+AC0-03+AC0-14,60,0,0,0,15,0,15,0,0,15,0,0,60,60,0,0,4,60,0,,,,,,,,
2020+AC0-03+AC0-15,50,0,0,1,12,0,12,0,0,12,0,0,49,49,0,0,4,49,0,,,,,,,,
2020+AC0-03+AC0-16,36,0,0,0,29,0,29,0,0,29,0,0,36,36,0,0,4,36,0,,,,,,,,
2020+AC0-03+AC0-17,68,0,0,0,11,0,11,0,0,11,0,0,68,68,0,0,4,68,0,,,,,,,,
2020+AC0-03+AC0-18,95,0,0,0,25,0,25,0,0,25,0,0,89,91,0,0,4,91,0,,,,,,,,
2020+AC0-03+AC0-19,102,2,0,1,46,1,46,0,1,46,0,1,97,99,0,2,4,99,2,,,,,,,,
2020+AC0-03+AC0-20,111,0,0,0,39,1,39,0,1,39,0,1,105,107,0,0,4,107,0,,,,,,,,
2020+AC0-03+AC0-21,100,1,0,2,48,0,48,0,0,48,0,0,98,100,0,1,4,100,1,,,,,,,,
2020+AC0-03+AC0-22,66,0,0,1,65,1,65,0,1,65,0,1,66,66,0,0,4,66,0,,,,,,,,
2020+AC0-03+AC0-23,48,1,0,0,51,1,51,0,1,51,0,1,47,48,0,1,4,48,1,,,,,,,,
2020+AC0-03+AC0-24,129,1,0,0,38,1,38,0,1,38,0,1,129,130,0,1,4,129,1,,,,,,,,
2020+AC0-03+AC0-25,165,2,0,1,70,1,70,0,1,70,0,1,160,164,0,2,4,164,2,,,,,,,,
2020+AC0-03+AC0-26,141,2,0,4,110,2,110,0,2,110,0,2,133,141,0,2,4,141,2,,,,,,,,
2020+AC0-03+AC0-27,173,8,0,1,132,4,132,0,4,132,0,4,164,173,0,8,4,174,8,,,,,,,,
2020+AC0-03+AC0-28,211,7,0,2,131,4,131,0,4,131,0,4,203,211,0,6,4,210,6,,,,,,,,
2020+AC0-03+AC0-29,159,14,0,3,145,4,145,0,4,145,0,4,147,158,0,13,4,158,13,,,,,,,,
2020+AC0-03+AC0-30,142,8,31,3,101,8,101,31,8,101,31,8,140,142,31,8,35,142,8,,,,,,,,
2020+AC0-03+AC0-31,318,12,0,7,121,1,121,0,1,121,0,1,294,306,0,11,35,305,12,,,,,,,,
2020+AC0-04+AC0-01,280,22,0,8,163,8,163,0,8,163,0,8,268,277,0,21,35,276,21,,,,,,,,
2020+AC0-04+AC0-02,329,19,0,10,132,13,132,0,13,132,0,13,306,319,0,18,35,317,19,,,,,,,,
2020+AC0-04+AC0-03,310,26,598,8,178,10,178,598,10,178,598,10,277,300,598,25,633,299,25,,,,,,,,
2020+AC0-04+AC0-04,341,32,0,11,202,19,202,0,19,202,0,19,321,335,0,31,633,337,31,,,,,,,,
2020+AC0-04+AC0-05,220,33,0,2,253,15,253,0,15,253,0,15,200,218,0,30,633,218,31,,,,,,,,
2020+AC0-04+AC0-06,228,27,0,5,296,31,296,0,31,296,0,31,208,224,0,25,633,223,27,,,,,,,,
2020+AC0-04+AC0-07,547,53,0,4,346,16,346,0,16,346,0,16,509,535,0,52,633,530,53,,,,,,,,
2020+AC0-04+AC0-08,463,56,0,7,396,33,396,0,33,396,0,33,427,450,0,52,633,447,55,,,,,,,,
2020+AC0-04+AC0-09,524,46,0,11,260,20,260,0,20,260,0,20,506,514,0,43,633,514,46,,,,,,,,
2020+AC0-04+AC0-10,417,53,0,8,403,39,403,0,39,403,0,39,383,405,0,45,633,406,50,,,,,,,,
2020+AC0-04+AC0-11,499,66,0,9,375,40,375,0,40,375,0,40,451,486,0,56,633,484,63,,,,,,,,
2020+AC0-04+AC0-12,416,69,1139,5,442,23,442,1139,23,442,1139,23,376,405,1139,61,1772,404,66,,,,,,,,
2020+AC0-04+AC0-13,430,72,71,9,353,36,353,71,36,353,71,36,398,428,71,59,1843,428,67,,,,,,,,
2020+AC0-04+AC0-14,862,80,121,13,385,74,385,121,74,385,121,74,756,843,121,63,1964,839,75,,,,,,,,
2020+AC0-04+AC0-15,852,92,161,14,448,43,448,161,43,448,161,43,772,840,161,73,2125,837,83,,,,,,,,
2020+AC0-04+AC0-16,889,95,0,10,450,37,450,0,37,450,0,37,800,860,0,75,2125,856,86,,,,,,,,
2020+AC0-04+AC0-17,908,80,0,9,578,60,578,0,60,578,0,60,808,882,0,62,2125,880,75,,,,,,,,
2020+AC0-04+AC0-18,1044,110,0,20,622,104,622,0,104,622,0,104,953,1013,0,72,2125,1016,101,,,,,,,,
2020+AC0-04+AC0-19,741,110,502,12,764,36,764,502,36,764,502,36,636,723,502,76,2627,723,100,,,,,,,,
2020+AC0-04+AC0-20,682,136,0,13,511,26,511,0,26,511,0,26,584,664,0,91,2627,662,124,,,,,,,,
2020+AC0-04+AC0-21,1390,165,0,32,729,145,729,0,145,729,0,145,1186,1345,0,90,2627,1333,136,,,,,,,,
2020+AC0-04+AC0-22,1353,157,0,27,1043,113,1043,0,113,1043,0,113,1158,1307,0,92,2627,1292,135,,,,,,,,
2020+AC0-04+AC0-23,1268,165,0,28,1089,99,1089,0,99,1089,0,99,1053,1243,0,99,2627,1231,143,,,,,,,,
2020+AC0-04+AC0-24,1364,163,0,21,1239,152,1239,0,152,1239,0,152,1094,1328,0,95,2627,1315,141,,,,,,,,
2020+AC0-04+AC0-25,1549,196,4522,19,970,84,970,4522,84,970,4522,84,1250,1506,4522,110,7149,1496,176,,,,,,,,
2020+AC0-04+AC0-26,981,223,1205,25,835,46,835,1205,46,835,1205,46,852,951,1205,80,8354,938,178,,,,,,,,
2020+AC0-04+AC0-27,963,235,732,19,852,83,852,732,83,852,732,83,1223,930,732,138,9086,921,195,,,,,,,,
2020+AC0-04+AC0-28,1756,211,2337,27,1223,135,1223,2337,135,1223,2337,135,1047,1684,2332,163,11423,1659,180,,,,,,,,
2020+AC0-04+AC0-29,1741,208,0,35,1047,163,1047,0,163,1047,0,163,1425,1683,0,127,11423,1666,156,,,,,,,,
2020+AC0-04+AC0-30,1725,268,0,34,1425,127,1425,0,127,1425,0,127,1515,1678,0,113,11423,1657,207,,,,,,,,
2020+AC0-05+AC0-01,1731,263,954,59,1515,113,1515,954,113,1515,954,113,1349,1680,954,89,12377,1636,191,,,,,,,,
2020+AC0-05+AC0-02,1344,295,0,47,1349,89,1349,0,89,1349,0,89,1383,1283,0,93,12377,1246,217,,,,,,,,
2020+AC0-05+AC0-03,1331,261,1070,50,1383,93,1383,1070,93,1383,1070,93,1434,1290,,117,,1264,205,,,,,,,,
2020+AC0-05+AC0-04,1220,264,0,37,1434,117,1434,0,117,1434,0,117,1120,1161,,236,,1142,198,,,,,,,,
2020+AC0-05+AC0-05,2452,332,3363,70,1120,236,1120,3363,236,1120,3363,236,1579,2367,,197,,2316,234,,,,,,,,
2020+AC0-05+AC0-06,2036,312,971,137,1609,197,1609,971,197,1609,971,197,2012,1926,,257,,1878,216,,,,,,,,
2020+AC0-05+AC0-07,2227,301,0,154,1982,257,1982,0,257,1982,0,257,1906,2119,,199,,2051,227,,,,,,,,
2020+AC0-05+AC0-08,2329,296,2533,128,1906,199,1906,2533,199,1906,2533,199,1938,2234,,193,,2117,209,,,,,,,,
2020+AC0-05+AC0-09,2334,321,1510,144,1938,193,1938,1510,193,1938,1510,193,1562,2255,,112,,2133,224,,,,,,,,
2020+AC0-05+AC0-10,1477,309,0,107,1562,112,1562,0,112,1562,0,112,1305,1407,,108,,1305,207,,,,,,,,
2020+AC0-05+AC0-11,1368,322,1276,72,1305,108,1305,1276,108,1305,1276,108,1997,1276,,353,,1202,213,,,,,,,,
2020+AC0-05+AC0-12,2855,344,2835,185,1997,353,1997,2835,353,1997,2835,353,1862,2725,,294,,2586,220,,,,,,,,
2020+AC0-05+AC0-13,2822,343,1055,193,1862,294,1862,1055,294,1862,1055,294,2411,2679,,257,,2504,215,,,,,,,,
2020+AC0-05+AC0-14,3047,377,1485,175,2409,257,2409,1485,257,2409,1485,257,2435,2925,,290,,2651,230,,,,,,,,
2020+AC0-05+AC0-15,3006,417,1976,187,2437,290,2437,1976,290,2437,1976,290,2112,2814,,278,,2557,258,,,,,,,,
2020+AC0-05+AC0-16,3404,427,1397,197,2112,278,2112,1397,278,2112,1397,278,2075,3188,,132,,2839,261,,,,,,,,
2020+AC0-05+AC0-17,2099,397,1481,134,2075,132,2075,1481,132,2075,1481,132,2414,1940,,155,,1669,233,,,,,,,,
2020+AC0-05+AC0-18,1591,450,2059,93,2414,155,2414,2059,155,2414,2059,155,2713,1486,,334,,1333,246,,,,,,,,
2020+AC0-05+AC0-19,3932,454,1937,265,2713,334,2713,1937,334,2713,1937,334,2248,3613,,424,,3193,252,,,,,,,,
2020+AC0-05+AC0-20,3485,460,1094,234,2248,424,2248,1094,424,2248,1094,424,2973,3180,,420,,2825,245,,,,,,,,
2020+AC0-05+AC0-21,3788,461,1733,286,2973,420,2973,1733,420,2973,1733,420,2960,3480,,479,,2916,228,,,,,,,,
2020+AC0-05+AC0-22,3883,451,2039,283,2960,479,2960,2039,479,2960,2039,479,3329,3500,,190,,2802,225,,,,,,,,
2020+AC0-05+AC0-23,3885,438,2233,310,3329,190,3329,2233,190,3329,2233,190,2764,3540,,215,,2408,188,,,,,,,,
2020+AC0-05+AC0-24,2213,432,2555,157,2764,215,2764,2555,215,2764,2555,215,2485,1936,,239,,1033,163,,,,,,,,
2020+AC0-05+AC0-25,1816,468,2473,130,2485,239,2485,2473,239,2485,2473,239,3455,1686,,501,,680,184,,,,,,,,
2020+AC0-05+AC0-26,4522,482,2256,289,3455,501,3455,2256,501,3455,2256,501,3463,4200,,463,,1158,143,,,,,,,,
,4260,482,,326,3463,463,,,,,,,,,,,,,,,,,,,,,
,4406,456,,262,3377,447,,,,,,,,,,,,,,,,,,,,,
,4150,486,,251,3227,371,,,,,,,,,,,,,,,,,,,,,
,4269,444,,335,2885,364,,,,,,,,,,,,,,,,,,,,,
,2663,483,,186,3152,151,,,,,,,,,,,,,,,,,,,,,
,2025,508,,125,2771,237,,,,,,,,,,,,,,,,,,,,,
,5190,552,,347,3891,470,,,,,,,,,,,,,,,,,,,,,
,4643,502,,295,3912,1092,,,,,,,,,,,,,,,,,,,,,
,4860,536,,347,4442,816,,,,,,,,,,,,,,,,,,,,,
,4802,532,,288,4346,625,,,,,,,,,,,,,,,,,,,,,
,4939,510,,327,3593,341,,,,,,,,,,,,,,,,,,,,,
,2915,548,,209,3484,188,,,,,,,,,,,,,,,,,,,,,
,2281,568,,120,2999,354,,,,,,,,,,,,,,,,,,,,,
,6047,602,,373,4199,596,,,,,,,,,,,,,,,,,,,,,
,5654,567,,334,4883,708,,,,,,,,,,,,,,,,,,,,,
,5608,591,,400,4790,587,,,,,,,,,,,,,,,,,,,,,
,5297,550,,376,5222,504,,,,,,,,,,,,,,,,,,,,,
,5501,608,,417,3494,424,,,,,,,,,,,,,,,,,,,,,
,2984,569,,217,4147,269,,,,,,,,,,,,,,,,,,,,,
,2523,592,,180,3427,439,,,,,,,,,,,,,,,,,,,,,
,6427,584,,439,4599,730,,,,,,,,,,,,,,,,,,,,,
,6270,647,,436,4930,770,,,,,,,,,,,,,,,,,,,,,
,5984,629,,376,5662,667,,,,,,,,,,,,,,,,,,,,,
,5921,569,,478,5030,647,,,,,,,,,,,,,,,,,,,,,
,5971,548,,443,4717,387,,,,,,,,,,,,,,,,,,,,,
,3463,489,,252,5343,1044,,,,,,,,,,,,,,,,,,,,,
,2375,565,,209,4577,759,,,,,,,,,,,,,,,,,,,,,
,6722,554,,492,6288,793,,,,,,,,,,,,,,,,,,,,,
,6494,552,,386,5437,947,,,,,,,,,,,,,,,,,,,,,
,6202,541,,482,6104,736,,,,,,,,,,,,,,,,,,,,,
,6117,523,,551,5441,719,,,,,,,,,,,,,,,,,,,,,
,6351,576,,583,4410,602,,,,,,,,,,,,,,,,,,,,,
,3565,579,,232,4050,267,,,,,,,,,,,,,,,,,,,,,
,2842,561,,270,3805,473,,,,,,,,,,,,,,,,,,,,,
,7313,628,,565,5432,648,,,,,,,,,,,,,,,,,,,,,
,7017,592,,561,5681,741,,,,,,,,,,,,,,,,,,,,,
,7365,566,,691,6741,679,,,,,,,,,,,,,,,,,,,,,
,6803,561,,713,6740,654,,,,,,,,,,,,,,,,,,,,,
,6813,560,,740,6914,523,,,,,,,,,,,,,,,,,,,,,
,3508,584,,272,4683,273,,,,,,,,,,,,,,,,,,,,,
,2841,627,,247,4902,480,,,,,,,,,,,,,,,,,,,,,
,7542,681,,879,6258,895,,,,,,,,,,,,,,,,,,,,,
,7589,649,,871,6995,782,,,,,,,,,,,,,,,,,,,,,
,7152,596,,836,7280,730,,,,,,,,,,,,,,,,,,,,,
,6849,608,,918,6891,665,,,,,,,,,,,,,,,,,,,,,
,6841,563,,1052,6094,539,,,,,,,,,,,,,,,,,,,,,
,3635,588,,321,4482,276,,,,,,,,,,,,,,,,,,,,,
,2974,586,,310,4685,485,,,,,,,,,,,,,,,,,,,,,
,8171,636,,856,7051,836,,,,,,,,,,,,,,,,,,,,,
,7775,608,,855,6149,579,,,,,,,,,,,,,,,,,,,,,
,8185,618,,887,6406,668,,,,,,,,,,,,,,,,,,,,,
,7681,630,,851,7257,736,,,,,,,,,,,,,,,,,,,,,
,7373,590,,761,7615,578,,,,,,,,,,,,,,,,,,,,,
,4078,567,,301,5311,296,,,,,,,,,,,,,,,,,,,,,
,3102,605,,204,5172,301,,,,,,,,,,,,,,,,,,,,,
,8533,608,,844,6859,915,,,,,,,,,,,,,,,,,,,,,
,8174,640,,843,6019,790,,,,,,,,,,,,,,,,,,,,,
,7807,555,,891,8438,718,,,,,,,,,,,,,,,,,,,,,
,7580,605,,835,7573,737,,,,,,,,,,,,,,,,,,,,,
,7454,572,,814,6751,729,,,,,,,,,,,,,,,,,,,,,
,3771,587,,436,5480,306,,,,,,,,,,,,,,,,,,,,,
,2726,589,,223,4973,342,,,,,,,,,,,,,,,,,,,,,
,7783,604,,748,7208,854,,,,,,,,,,,,,,,,,,,,,
,7409,590,,578,5752,485,,,,,,,,,,,,,,,,,,,,,
,7050,499,,652,7730,639,,,,,,,,,,,,,,,,,,,,,
,6808,561,,893,8458,688,,,,,,,,,,,,,,,,,,,,,
,6036,502,,883,9556,784,,,,,,,,,,,,,,,,,,,,,
,3363,526,,436,4853,274,,,,,,,,,,,,,,,,,,,,,
,2270,507,,250,4767,266,,,,,,,,,,,,,,,,,,,,,
,6813,553,,740,6148,857,,,,,,,,,,,,,,,,,,,,,
,6658,583,,774,6139,829,,,,,,,,,,,,,,,,,,,,,
,6413,517,,827,6590,819,,,,,,,,,,,,,,,,,,,,,
,6046,512,,856,6717,794,,,,,,,,,,,,,,,,,,,,,
,5893,479,,799,6495,695,,,,,,,,,,,,,,,,,,,,,
,3180,505,,359,4376,292,,,,,,,,,,,,,,,,,,,,,
,2111,484,,224,5558,705,,,,,,,,,,,,,,,,,,,,,
,6438,488,,979,6686,926,,,,,,,,,,,,,,,,,,,,,
,6216,485,,856,5858,737,,,,,,,,,,,,,,,,,,,,,
,5688,434,,1086,7371,627,,,,,,,,,,,,,,,,,,,,,
,5565,422,,1168,5618,615,,,,,,,,,,,,,,,,,,,,,
,,,,1148,6345,635,,,,,,,,,,,,,,,,,,,,,
,,,,575,4448,214,,,,,,,,,,,,,,,,,,,,,
,,,,426,3571,266,,,,,,,,,,,,,,,,,,,,,
,,,,501,5506,751,,,,,,,,,,,,,,,,,,,,,
,,,,482,5792,707,,,,,,,,,,,,,,,,,,,,,
,,,,459,6775,625,,,,,,,,,,,,,,,,,,,,,
,,,,430,5928,504,,,,,,,,,,,,,,,,,,,,,
,,,,432,6482,644,,,,,,,,,,,,,,,,,,,,,
,,,,390,3948,226,,,,,,,,,,,,,,,,,,,,,
,,,,391,3541,320,,,,,,,,,,,,,,,,,,,,,
,,,,465,4916,650,,,,,,,,,,,,,,,,,,,,,
,,,,442,5267,626,,,,,,,,,,,,,,,,,,,,,
,,,,435,6026,518,,,,,,,,,,,,,,,,,,,,,
